,Date,Price_market,Open_market,High_market,Low_market,Vol._market,asks_market,bids_market,bidAskSpread_market,rank_market,tradesPerMin_market,volatility_market,AdrActCnt_market,CapMrktFFUSD_market,ROI1yr_market,ROI30d_market,VtyDayRet180d_market,VtyDayRet30d_market,HashRate_market,DiffMean_market,SplyFF_market,RevUSD_market,TxCnt_market,FeeTotUSD_market,IssTotUSD_market,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Close_futures,avg_block_size_onchain,avg_confirmation_time_onchain,blocks_size_onchain,median_confirmation_time_onchain,n_payments_per_block_onchain,n_transactions_per_block_onchain,n_transactions_total_onchain,estimated_transaction_volume_usd_onchain,estimated_transaction_volume_onchain,mempool_count_onchain,mempool_growth_onchain,mempool_size_onchain,n_payments_onchain,n_transactions_excluding_popular_onchain,n_transactions_onchain,n_unique_addresses_onchain,output_volume_onchain,transactions_per_second_onchain,utxo_count_onchain,addresses_active_count_onchain,addresses_with_balance_greater_than_1in1k_count_onchain,addresses_with_balance_greater_than_1in10k_count_onchain,addresses_with_balance_greater_than_1in100k_count_onchain,addresses_with_balance_greater_than_1in1m_count_onchain,addresses_with_balance_greater_than_1in10m_count_onchain,addresses_with_balance_greater_than_1in100m_count_onchain,addresses_with_balance_greater_than_1in1b_count_onchain,addresses_with_balance_greater_than_1in10b_count_onchain,addresses_with_balance_greater_than_100k_native_units_count_onchain,addresses_with_balance_greater_than_10k_native_units_count_onchain,addresses_with_balance_greater_than_1k_native_units_count_onchain,addresses_with_balance_greater_than_100_native_units_count_onchain,addresses_with_balance_greater_than_10_native_units_count_onchain,addresses_with_balance_greater_than_1_native_units_count_onchain,addresses_with_balance_greater_than_0.1_native_units_count_onchain,addresses_with_balance_greater_than_0.01_native_units_count_onchain,addresses_with_balance_greater_than_0.001_native_units_count_onchain,addresses_any_balance_count_onchain,addresses_with_balance_greater_than_$10m_count_onchain,addresses_with_balance_greater_than_$1m_count_onchain,addresses_with_balance_greater_than_$100k_count_onchain,addresses_with_balance_greater_than_$10k_count_onchain,addresses_with_balance_greater_than_$1k_count_onchain,addresses_with_balance_greater_than_$100_count_onchain,addresses_with_balance_greater_than_$10_count_onchain,addresses_with_balance_greater_than_$1_count_onchain,block_size_mean_bytes_onchain,block_weight_mean_onchain,block_weight_total_onchain,block_count_onchain,flow_in_to_exchanges_native_units_onchain,flow_in_to_exchanges_usd_onchain,flow_out_from_exchanges_native_units_onchain,flow_out_from_exchanges_usd_onchain,flow_transfers_from_exchanges_count_onchain,fees_transaction_mean_usd_onchain,fees_transaction_median_native_units_onchain,fees_transaction_median_usd_onchain,fees_total_native_units_onchain,fees_total_usd_onchain,fees_transaction_mean_native_units_onchain,fees_byte_mean_native_units_onchain,miner_revenue_native_units_onchain,miner_revenue_usd_onchain,miner_revenue_all_time_usd_onchain,transactions_count_onchain,transactions_count_per_second_onchain,transactions_transfers_count_onchain,transactions_transfers_value_mean_native_units_onchain,transactions_transfers_value_mean_usd_onchain,transactions_transfers_value_median_native_units_onchain,transactions_transfers_value_median_usd_onchain,transactions_transfers_value_adjusted_native_units_onchain,transactions_transfers_value_adjusted_usd_onchain,velocity_current_supply_1yr_onchain,supply_miner_held_by_all_mining_entities_native_units_onchain,supply_miner_held_by_all_addresses_within_one_hop_of_a_mining_entity_native_units_onchain,supply_miner_held_by_all_mining_entities_usd_onchain,supply_miner_held_by_all_addresses_within_one_hop_of_a_mining_entity_usd_onchain,difficulty_last_onchain,difficulty_mean_onchain,hash_rate_mean_onchain,hash_rate_mean_30d_onchain,revenue_per_hash_unit_native_units_onchain,revenue_per_hash_unit_usd_onchain,revenue_daily_per_hash_unit_per_second_native_units_onchain,revenue_daily_per_hash_unit_per_second_usd_onchain,supply_held_by_top_10%_addresses_onchain,supply_held_by_top_1%_addresses_onchain,supply_equality_ratio_onchain,network_distribution_factor_onchain,supply_held_by_top_100_addresses_onchain,supply_current_onchain,issuance_continuous_percent_annualized_onchain,issuance_continuous_percent_daily_onchain,issuance_total_native_units_onchain,issuance_total_usd_onchain,bitcoin_trends,scaled_trends
0,2021-01-04,32022.6,33016.6,33587.5,28204.5,255270.0,36372436.827489,22906178.2987979,0.8119768070151792,807.695130569618,124.33125,226.5686483134012,1145125.0,857374000000.0,785.4132631,21.76655774,0.039935305,0.032655077,157606703.3,21865600000000.0,14576489.08,58688930.71,315091.0,5384232.713,53304698.0,31550.0,33405.0,34170.0,28440.0,15000.0,29385.0,1.318806191,85.47469638,319729.8329,12.88333333,4622.219653,2160.312139,602493027,7503147813.0,234965.054,19413.82813,1481.87066,17555614.55,799644,368932,373734,851667,1922521.521,3.867013889,69413391.54,1270082,41,1184,9026,103292,492788,2215123,6360345,14411298,1,101,2282,16209,152620,827142,3123251,8461835,16665444,33197711,5522,76682,324918,1647345,5159386,12629552,20539969,28274582,1319111.931,3994695.243,691082277,173,49024.92023,1559097706.0,45822.78385,1457262895.0,45960,9.393835956,0.00015594,4.959226759,109.5474781,3483844.972,0.000295384,4.8e-07,1190.797478,37869916.11,21224812307,370865,4.292418981,1009564,0.704833335,22415.21314,0.00574068,182.5659476,319640.6137,10165257692,11.40975127,1789311.496,2822922.717,56903946699.0,89775002419.0,18600000000000.0,18600000000000.0,159954206.0,137397398.2,8.6e-11,2.74e-06,7.44e-06,0.236754738,18397226.05,16870869.28,0.07976235,0.352577185,2470711.855,18590740.19,2.12284,0.005816,1081.25,34386071.13,50,94.11764706
1,2021-01-05,33991.5,32015.4,34414.7,30010.5,202130.0,48528572.7738946,26968024.6926232,0.5999715248862015,863.8087256771088,101.67438271604937,186.40613550002428,1040203.0,843314000000.0,553.4171985,-1.624283102,0.041746866,0.034317098,158215613.5,22897500000000.0,14574168.41,55986515.21,260173.0,5717521.057,50268994.15,34515.0,31655.0,34680.0,30250.0,8150.0,34515.0,1.292713083,69.08617018,319957.982,13.65,5039.382166,2255.356688,602865747,6775407806.0,209211.207,17984.36979,1694.782813,20199712.84,791183,349895,354091,845343,2209914.206,4.205729167,69319608.62,1230529,41,1159,9047,103161,492664,2217419,6377798,14418959,1,101,2312,16202,152527,827242,3127546,8483019,16685315,33255759,6183,79733,352454,1723136,5347947,12896249,20897838,28553122,1291960.892,3969494.312,623210607,157,33362.01898,1134748162.0,37802.57574,1285785593.0,40217,10.9371879,0.00017381,5.911829803,114.15545,3882789.202,0.000321557,5.6e-07,1095.40545,37258216.36,21262682223,355008,4.108888889,1005028,0.660072432,22451.1586,0.00533344,181.4072237,295151.6781,10039045434,11.41723567,1790185.85,2822587.597,60889903129.0,96005163549.0,18600000000000.0,18600000000000.0,145160753.6,137918963.5,8.7e-11,2.97e-06,7.55e-06,0.256668662,18397770.93,16871935.26,0.079875354,0.349515631,2481892.551,18591721.44,1.92647,0.005278,981.25,33375427.16,41,77.17647059
2,2021-01-06,36793.2,33999.3,36934.8,33408.3,227560.0,61312247.9458189,32617627.1998541,0.5838373111490521,738.86809135732,117.72229938271605,184.31431549910064,914351.0,534749000000.0,259.455757,-35.19587191,0.045297116,0.054133944,148572947.2,21047700000000.0,14586163.16,34231235.25,231423.0,1694262.17,32536973.08,36565.0,34655.0,37035.0,33780.0,19470.0,36565.0,1.293667921,79.04827089,320160.8907,11.775,4849.694915,2245.107345,603220075,7549976673.0,217195.1629,23100.66667,1712.794097,26460917.09,858396,393193,397384,924851,2131442.74,4.209027778,69311574.0,1344921,42,1143,9060,103209,493074,2218737,6370172,14439729,1,100,2333,16214,152762,827742,3127158,8480821,16694615,33306985,6440,81967,366086,1784674,5484605,13154116,21147360,28784513,1295037.209,3995052.124,707124226,177,44611.11312,1634697408.0,58826.14995,2155582950.0,44833,11.81192274,0.00017414,6.381060383,128.4415579,4706519.676,0.000322349,5.6e-07,1234.691558,45243145.66,21299940439,398455,4.611747685,1104746,0.680455758,24934.12933,0.005055695,185.257236,329143.264,12060888032,11.42812455,1790006.692,2822077.477,65591712348.0,103000000000.0,18600000000000.0,18600000000000.0,163652569.0,138612512.5,8.7e-11,3.2e-06,7.54e-06,0.276458511,18399661.12,16873149.86,0.079873759,0.346623082,2474776.497,18592827.69,2.17175,0.00595,1106.25,40536625.98,45,84.70588235
3,2021-01-07,39460.2,36798.5,40340.9,36361.2,249600.0,73471327.0165176,32248535.3358441,0.6437841562341277,701.3895429988311,144.35640432098765,217.3071085720435,817115.0,488468000000.0,262.5565329,-8.609326182,0.047465715,0.051059316,95122984.45,19932800000000.0,14578909.34,22532356.46,232056.0,2429308.159,20103048.3,39625.0,36445.0,41000.0,36445.0,16830.0,39625.0,1.269546125,51.18193927,320390.0145,13.00833333,5173.017857,2391.333333,603618745,9896769613.0,258243.1265,22812.76042,1818.574653,35076620.13,869067,397456,401744,940647,2751162.198,4.623090278,69356157.36,1292297,42,1115,9071,103028,492725,2221575,6387310,14511076,1,101,2361,16200,152280,827737,3130955,8507270,16788897,33458857,6708,83987,377548,1846258,5636127,13433777,21478229,29034497,1269781.28,3923813.298,659200634,168,61916.05397,2428078373.0,62653.7859,2457009011.0,49635,11.97536842,0.00017472,6.851758569,122.7971724,4815571.073,0.000305372,5.8e-07,1172.797172,45992004.78,21345183585,402123,4.654201389,1115281,0.786745974,30852.75567,0.005171115,202.7886419,384951.5801,15096126876,11.44502474,1790004.282,2821826.388,70196183467.0,111000000000.0,18600000000000.0,18600000000000.0,155331252.4,139219145.7,8.7e-11,3.43e-06,7.55e-06,0.296089834,18400933.13,16877468.96,0.080008325,0.344111382,2486440.508,18593877.69,2.0611623,0.00564702,1050.0,41176433.71,65,122.3529412
4,2021-01-08,40599.3,39466.4,41921.7,36613.4,251290.0,58548207.9690143,34923047.2826486,0.6827084349196875,779.5044565403724,143.31612654320986,265.3005569980956,695892.0,583300000000.0,238.7894954,18.31108222,0.043585415,0.030858447,110975800.3,14496400000000.0,14593824.06,38861905.57,190234.0,391772.9515,38470132.62,39520.0,40275.0,42730.0,37000.0,15380.0,39520.0,1.295011068,60.27968376,320603.3415,15.57083333,5555.533784,2422.472973,604020433,8838843563.0,222609.0817,32610.66667,1776.630035,46205318.29,822219,354565,358526,883788,2518905.297,4.650173611,69399690.67,1237271,43,1090,9097,102955,492304,2225142,6407305,14587768,1,101,2379,16234,151926,828234,3138136,8536694,16885969,33600746,7091,88126,388467,1908169,5746008,13636255,21722220,29333811,1295573.223,3995395.291,591318503,148,49568.04668,2021157157.0,51111.43744,2084089539.0,45532,15.4568259,0.00021056,8.585669185,135.8746709,5540344.676,0.000379072,7.1e-07,1060.874671,43257593.9,21391175590,358440,4.148611111,1036933,0.799507485,32600.24114,0.005,203.8770228,382551.0509,15598673866,11.43793923,1789233.315,2822390.243,72956712276.0,115000000000.0,18600000000000.0,18600000000000.0,136839436.2,139368103.0,9e-11,3.66e-06,7.75e-06,0.316119351,18401660.53,16880313.76,0.080207968,0.341616196,2501364.372,18594802.69,1.815875,0.004975,925.0,37717249.22,65,122.3529412
5,2021-01-11,35544.3,38195.3,38217.2,30411.6,251040.0,26709116.3675095,35332490.3668739,0.975457928644162,1042.3516886196117,249.819675925926,434.2420953801524,1053426.0,887835000000.0,344.7298712,27.82794954,0.04099284,0.030560878,159350397.4,21659300000000.0,14532723.96,57409115.37,289324.0,898927.4406,56510187.93,33780.0,38925.0,39165.0,31105.0,22210.0,33780.0,1.3372515,81.38398978,321174.049,14.00833333,4904.116883,2168.558442,605031340,6926936906.0,204127.7839,41873.75521,1651.795833,82567127.68,755234,329587,333958,801285,2438667.937,3.776909722,69808478.32,1211948,43,1049,9150,102813,491872,2221190,6405488,14609742,1,101,2412,16269,151787,826629,3136328,8535653,16912554,33722194,6405,80638,357888,1753338,5431237,13140963,21337233,29043199,1334788.955,3994991.636,615228712,154,63762.88958,2248886109.0,52918.79311,1866420099.0,48476,14.54309197,0.00021922,7.731782797,137.4916357,4849263.131,0.000412342,6.7e-07,1099.991636,38796170.08,21515487182,333441,3.859270833,950119,0.771571171,27212.94001,0.0057356,202.2918229,343003.0388,12097550383,11.45492997,1787475.164,2821437.198,63043379817.0,99510717948.0,20600000000000.0,20600000000000.0,157757649.3,141835484.4,8.1e-11,2.85e-06,6.97e-06,0.245922593,18405672.05,16890511.46,0.080007662,0.337847808,2506447.879,18597627.69,1.888875,0.005175,962.5,33946906.95,76,143.0588235
6,2021-01-12,34076.1,35426.0,36598.7,32572.7,241930.0,61492976.1268412,27776676.6976976,1.0864108566083417,1227.0600883848774,123.0503086419753,269.2035863260664,1057704.0,831092000000.0,203.8191459,-6.40260448,0.036845871,0.033120139,152112695.5,22335700000000.0,14534501.24,50121573.75,284941.0,1160676.573,48960897.18,34500.0,34840.0,37050.0,32780.0,14580.0,34500.0,1.324212047,113.5560617,321380.1138,18.33333333,4970.47973,2274.506757,605365473,7357383073.0,209957.3079,57848.39583,1904.025347,87975704.21,735631,332587,336627,796457,2210729.263,4.364930556,69880227.27,1202314,43,1043,9168,102712,491390,2216532,6399810,14616752,1,101,2413,16275,151641,825640,3129794,8532214,16900010,33717655,6274,79266,349677,1714886,5331808,12996908,21176577,28950892,1325752.331,3967624.818,587208473,148,36390.08552,1226799613.0,44091.40313,1486430041.0,37228,16.38296643,0.00024924,8.40249566,163.4531969,5510410.76,0.000485962,8.3e-07,1088.453197,36694444.16,21554283352,336350,3.892939815,929373,0.697582149,23517.21626,0.00524393,176.7858252,344455.4101,11612442178,11.46219015,1787569.364,2832905.796,60263375955.0,95504247554.0,20600000000000.0,20600000000000.0,151611247.7,141944457.0,8.3e-11,2.8e-06,7.18e-06,0.242029828,18407117.37,16894841.78,0.079854278,0.337486718,2511735.661,18598552.69,1.815329435,0.004973505,925.0,31184033.4,56,105.4117647
7,2021-01-13,37382.2,34061.2,37764.6,32451.9,209930.0,59663149.1097686,36852380.3606203,1.2582579249911376,1180.0804613100763,91.3914351851852,239.30677475223672,1163164.0,542179000000.0,322.3764266,93.3791075,0.032203232,0.046435097,155708849.3,20607400000000.0,14536986.87,40544742.08,320071.0,5113021.93,35431720.15,36375.0,34055.0,37580.0,32610.0,9790.0,36375.0,1.264865664,92.2936556,321576.0461,12.84166667,4723.835526,2099.782895,605701559,5277220347.0,152692.8192,62780.90104,1677.378819,89304520.85,718023,315524,319167,772596,1781868.542,3.73125,69933168.75,1163164,43,1040,9170,102678,491679,2218181,6403611,14613611,1,101,2412,16270,151632,826169,3131332,8539512,16890400,33726728,6607,82281,367756,1798303,5542437,13350537,21480661,29191535,1263256.526,3994811.276,607211314,152,31351.05065,1169285950.0,30762.68199,1147341831.0,34375,15.97464916,0.0002184,8.14556598,137.091025,5113021.93,0.000428314,7.1e-07,1087.091025,40544742.08,21590977796,320071,3.704525463,913399,0.653002795,24354.74979,0.005,186.4827376,278914.2068,10402536972,11.44595859,1787815.15,2833290.969,66679332695.0,106000000000.0,20600000000000.0,20600000000000.0,155708849.3,142648939.6,8.1e-11,3.01e-06,6.98e-06,0.260388168,18407854.66,16894212.34,0.079914623,0.337210184,2513585.804,18599502.69,1.864297141,0.005107663,950.0,35431720.15,49,92.23529412
8,2021-01-14,39175.7,37383.4,40054.3,36772.1,172400.0,53697724.8093454,29623611.1263092,3.101544984910613,831.3515069270329,79.58070987654321,294.2182575217383,1167975.0,567616000000.0,343.1225996,100.928036,0.032324699,0.046550387,150586847.1,20607400000000.0,14537293.23,41419611.82,338553.0,5546541.842,35873069.98,39605.0,37500.0,40365.0,36915.0,10510.0,39605.0,1.29648302,171.8715857,321768.181,16.08333333,5060.92517,2304.823129,606020714,8352711917.0,217046.9849,63608.46354,1516.580035,87791967.35,743956,334885,338809,802110,1934960.558,3.8609375,69993165.8,1167975,43,1035,9161,102674,491240,2219286,6409476,14628677,1,100,2418,16260,151524,826035,3135803,8547837,16918380,33792374,6788,83661,375482,1838238,5645106,13517960,21665769,29316103,1297242.224,3940901.122,579312465,147,37751.31626,1474019711.0,46963.36645,1833708986.0,36407,16.38308283,0.00023408,9.139774933,142.053226,5546541.842,0.000419589,7.4e-07,1060.803226,41419611.82,21631522538,338553,3.9184375,949194,0.755118898,29484.00877,0.00487695,190.4230407,358167.887,13984850800,11.41145079,1787969.296,2807252.273,69812187934.0,110000000000.0,20600000000000.0,20600000000000.0,150586847.1,143337372.0,8.2e-11,3.18e-06,7.04e-06,0.275054646,18408806.12,16896821.65,0.079995711,0.336919126,2529995.272,18600421.44,1.802735,0.004939,918.75,35873069.98,50,94.11764706
9,2021-01-15,36845.8,39175.7,39715.0,34488.7,118420.0,48133951.3538744,39071151.7757883,2.311825839817439,871.3736685041515,98.55956790123456,199.4281957213044,1209589.0,533703000000.0,321.0532782,71.77856842,0.032738939,0.047006413,158782049.8,20607400000000.0,14538226.96,40932668.17,345053.0,5369548.16,35563120.01,35625.0,39205.0,39980.0,34555.0,14050.0,35625.0,1.315265806,125.2746705,321958.9234,15.925,4940.064516,2219.367742,606359799,6530346132.0,173447.9771,69620.55729,1545.577431,86434450.11,765710,340326,344002,808283,1735779.466,3.900868056,70020079.47,1209589,42,1039,9154,102541,491075,2220599,6416490,14640456,1,100,2424,16236,151428,826131,3138142,8558188,16927660,33799007,6533,81643,364137,1786263,5520460,13315631,21463828,29216640,1315865.245,3969274.297,615237516,155,29361.06564,1077854040.0,30515.37794,1120229210.0,38019,15.5615171,0.0002197,8.065256738,146.268094,5369548.16,0.0004239,7.2e-07,1115.018094,40932668.17,21672942150,345053,3.993668981,981277,0.711616987,26123.68548,0.00411799,151.1727201,319627.209,11733616301,11.41987211,1788428.025,2803170.419,65653760500.0,103000000000.0,20600000000000.0,20600000000000.0,158782049.8,144206167.9,8.1e-11,2.98e-06,7.02e-06,0.257791534,18409383.29,16897248.74,0.08006983,0.337451195,2525270.295,18601390.19,1.90092,0.005208,968.75,35563120.01,45,84.70588235
